iter	Passed	Remaining
263	672	1873
264	674	1869
265	675	1864
266	677	1858
267	678	1852
268	679	1846
269	680	1839
270	681	1833
271	682	1826
272	685	1824
273	686	1819
274	688	1815
275	690	1811
276	692	1807
277	694	1802
278	695	1796
279	696	1790
280	697	1784
281	699	1780
282	701	1777
283	702	1771
284	704	1766
285	705	1761
286	706	1755
287	707	1750
288	709	1745
289	710	1739
290	711	1733
291	712	1727
292	714	1724
293	716	1720
294	718	1716
295	719	1711
296	720	1705
297	721	1700
298	723	1696
299	724	1690
300	725	1684
301	726	1679
302	729	1677
303	730	1673
304	732	1669
305	734	1665
306	735	1660
307	737	1656
308	738	1651
309	739	1646
310	740	1641
311	743	1638
312	745	1637
313	747	1632
314	748	1627
315	749	1623
316	750	1618
317	752	1613
318	753	1608
319	754	1603
320	755	1598
321	758	1597
322	760	1593
323	761	1589
324	763	1585
325	764	1580
326	765	1575
327	766	1570
328	767	1565
329	768	1560
330	769	1555
331	770	1550
332	772	1547
333	774	1544
334	776	1540
335	777	1536
336	778	1531
337	779	1527
338	780	1522
339	782	1518
340	783	1513
341	784	1508
342	785	1503
343	786	1499
344	789	1498
345	791	1496
346	792	1492
347	794	1487
348	795	1483
349	796	1478
350	797	1474
351	798	1470
352	799	1465
353	800	1460
354	804	1462
355	807	1460
356	808	1457
357	810	1453
358	811	1449
359	813	1445
360	814	1441
361	815	1437
362	818	1435
363	820	1433
364	821	1429
365	823	1425
366	824	1422
367	825	1418
368	826	1413
369	827	1409
370	828	1405
371	829	1400
372	831	1397
373	833	1395
374	835	1391
375	836	1388
376	837	1384
377	839	1380
378	840	1377
379	842	1373
380	844	1371
381	846	1368
382	847	1365
383	850	1365
384	852	1362
385	854	1358
386	855	1355
387	857	1352
388	865	1358
389	867	1356
390	869	1354
391	870	1350
392	872	1347
393	873	1343
394	874	1339
395	878	1339
396	879	1336
397	881	1332
398	882	1329
399	883	1325
400	885	1322
401	887	1319
402	888	1316
403	890	1313
404	893	1312
405	895	1309
406	896	1306
407	898	1303
408	899	1299
409	900	1296
410	902	1292
411	903	1289
412	905	1286
413	906	1283
414	908	1280
415	911	1280
416	913	1277
417	915	1274
418	917	1271
419	918	1268
420	921	1266
421	923	1264
422	925	1261
423	926	1258
424	927	1255
425	929	1252
426	930	1248
427	931	1245
428	933	1241
429	937	1242
430	939	1240
431	941	1238
432	943	1235
433	945	1232
434	946	1229
435	948	1226
436	952	1227
437	954	1224
438	955	1221
439	957	1219
440	959	1216
441	960	1212
442	961	1209
443	962	1205
444	963	1202
445	966	1200
446	968	1197
447	969	1194
448	970	1191
449	972	1188
450	973	1184
451	974	1181
452	975	1177
453	976	1174
454	977	1170
